continent,total_cases,total_deaths
418,306527,13009
419,308984,13035
420,308984,13035
421,310572,13082
422,314190,13151
423,314190,13151
424,317547,13205
425,317547,13205
426,318610,13228
427,320209,13258
428,322578,13308
429,324868,13345
430,327224,13409
431,329733,13451
432,332567,13517
433,334824,13566
434,334824,13566
435,337441,13635
436,340207,13693
437,343065,13780
438,346070,13857
439,349653,13965
440,349653,13965
441,355349,14124
442,358562,14226
443,361580,14312
444,364570,14377
445,366714,14435
446,368474,14471
447,371279,14524
448,374718,14639
449,378028,14732
450,380457,14832
451,383457,14900
452,385734,14981
453,387162,15024
454,387162,15024
455,392975,15177
456,392975,15177
457,400047,15321
458,400047,15321
459,405347,15485
460,406954,15542
461,409106,15614
462,411677,15738
463,414513,15826
464,417195,15924
465,417195,15924
466,420961,16088
467,422047,16132
468,422811,16174
469,424478,16243
470,426748,16329
471,429178,16414
472,431360,16496
473,433013,16551
474,433935,16581
475,435568,16631
476,437623,16702
477,439624,16767
478,441286,16822
479,442884,16879
480,444090,16920
481,444968,16951
482,446362,16985
483,448213,17013
484,449687,17067
485,451224,17126
486,451224,17126
487,453595,17200
488,454241,17219
489,455436,17250
490,456815,17287
491,456815,17287
492,459579,17375
493,459579,17375
494,461714,17443
495,462154,17458
496,463125,17475
497,463125,17475
498,465351,17546
499,466318,17576
500,467343,17613
501,467975,17637
502,468423,17651
503,468423,17651
504,470024,17716
505,470929,17754
506,471958,17784
507,471958,17784
508,473506,17821
509,473899,17839
510,474538,17859
511,475265,17882
512,476097,17910
513,476795,17935
514,476795,17935
515,477262,17959
516,477696,17971
517,478671,18004
518,478671,18004
519,480229,18109
520,480229,18109
521,481631,18152
522,481631,18152
523,482428,18185
524,482428,18185
525,483731,18222
526,484446,18236
527,484446,18236
528,485184,18256
529,486394,18296
530,486643,18302
531,487131,18313
532,487721,18330
533,488403,18350
534,488933,18371
535,488933,18371
536,489802,18402
537,490056,18411
538,490467,18429
539,490879,18452
540,491340,18473
541,491759,18486
542,491759,18486
543,492509,18507
544,492680,18512
545,492680,18512
546,493115,18514
547,493518,18529
548,493914,18541
549,494293,18558
550,494664,18568
551,495035,18587
552,495035,18587
553,495612,18603
554,496032,18616
555,496032,18616
556,496700,18648
557,496950,18654
558,497100,18659
559,497386,18664
560,497676,18672
561,497984,18681
562,498331,18688
563,498595,18696
564,498790,18698
565,498895,18700
566,499202,18707
567,499648,18716
568,500090,18726
569,500445,18735
570,500823,18750
571,500823,18750
572,501179,18762
573,501616,18766
574,502047,18770
575,502550,18775
576,502550,18775
577,503022,18780
578,503432,18789
579,503735,18795
580,504121,18803
581,504601,18806
582,505157,18811
583,505157,18811
584,506150,18824
585,506150,18824
586,506654,18834
587,507134,18834
588,507134,18877
589,508166,18887
590,508702,18891
591,509276,18896
592,509709,18898
593,509919,18901
594,509919,18901
595,510470,18903
596,511854,18911
597,511854,18911
598,512460,18915
599,513584,18925
600,513584,18925
601,513810,18928
602,513810,18928
603,514679,18936
604,515373,18942
605,517229,18960
606,517229,18960
607,517902,18964
608,518266,18967
609,518870,18970
610,519669,18976
611,521518,18998
612,522530,19004
613,522530,19004
614,523485,19017
615,524261,19022
616,525187,19030
617,526306,19043
618,527380,19049
619,527380,19049
620,528407,19051
621,529075,19062
622,530369,19080
623,531428,19096
624,531428,19096
625,533756,19121
626,535115,19137
627,535115,19137
628,536472,19161
629,536472,19161
630,537559,19171
631,538647,19188
632,539762,19196
633,540869,19205
634,542859,19215
635,543390,19222
636,544666,19247
637,546155,19264
638,546155,19264
639,547892,19276
640,549638,19281
641,551516,19305
642,553108,19317
643,553108,19317
644,554999,19330
645,556765,19355
646,558565,19372
647,560684,19391
648,563858,19428
649,564747,19440
650,564747,19440
651,568967,19480
652,568967,19480
653,570876,19496
654,575247,19530
655,575247,19530
656,576602,19546
657,577808,19554
658,580690,19576
659,585624,19622
660,591773,19650
661,599753,19680
662,599753,19680
663,611031,19722
664,622312,19763
665,622312,19763
666,631554,19810
667,641817,19848
668,652819,19888
669,671832,19957
670,677166,19983
671,686023,19999
672,697236,20056
673,711299,20103
674,711299,20103
675,725459,20149
676,725459,20149
677,749070,20238
678,754335,20254
679,763392,20291
680,774227,20377
681,795087,20504
682,804677,20570
683,804677,20570
684,804677,20570
685,820583,20671
686,828232,20720
687,835170,20774
688,841757,20824
689,841757,20824
690,847180,20865
691,852280,20919
692,855705,20951
693,859530,21011
694,863675,21045
695,867071,21073
696,867071,21073
